"UID","parkName","panoramaID","panoramaDate","year","direction"
"-IBLT4J8RHmus5PJwAZtjQ","Emery-Barnes-Park","caJlh7kYeOzXsXNSb84r5g","May 2017","2017",268
"-IGqbN27SB4BoaMXYYaCvg","Eburne-Park","bJNvwKi0z-fFFQU8eH7Nbg","Jun 2017","2017",231
"-IZIQ29s_O9PeVzSk-oTdA","Fraserlands-Park","_G975i3ORj4b0LwNfpXh6w","Aug 2017","2017",276
"-JBvars7gUKT6klx38d3yQ","Emery-Barnes-Park","yrAbZLzM3ByB4dT8KgkqkQ","Jun 2017","2017",242
"-K8cq8erJJpV0CFCApNEYw","Kaslo-Park","fOgqT8lJPNLU6LqOXLatDA","May 2017","2017",270
"-KAmDGZYArj4RU46sVC47g","Grimmett-Park","DwxIRgT__HPJ6F3vmz3dXQ","Jun 2017","2017",92
"-KBOE-zFsrADIcnNHPIsyQ","Grimmett-Park","TKan5BH8mpTlPhvQyDqzcg","May 2017","2017",271
"-KBOE-zFsrADIcnNHPIsyQ","Mount-Pleasant-Park","TKan5BH8mpTlPhvQyDqzcg","May 2017","2017",271
"-KMDq6e13IzqaOu36tzvhQ","Connaught-Park","s9ga5crh9s4haA7nfx6EGQ","May 2017","2017",273
"-K_DAAtkaecB79z5p0NSJA","Winona-Park","_AkUPiU0ac1nVPCenk3qyA","Jun 2017","2017",204
"-Km4NH7_Y4wjGa29VEWhPQ","Mount-Pleasant-Park","r6TKwMcYYpe81KHYBsjBaA","Jun 2017","2017",271
"-LBqTzNZiE6Bfpqc663fPQ","Morton-Park","NFcETqLtv6Kar6z3LFCWUA","Jun 2017","2017",64
"-NCLnQeKBpFLQgG1Z1beLg","Connaught-Park","dVrXP5MjTbUVk3ZaW8oqtA","Jun 2017","2017",93
"-NH332FklRcW1YLTqrt5kg","Quilchena-Park","faOBhqqHU47KGtZ-6dot_g","May 2017","2017",182
"-NO5E-YVjkIkBrJn3l2h4g","Foster-Park","eMTIMFGVO9x4asF0aflS1A","Aug 2017","2017",165
"-O1qMz41kBPggveJ7fyoSQ","Winona-Park","9czkhUVLL3tPKxs3r1_QoQ","May 2017","2017",192
"-OATUCgxljs2IAKk0BEiJg","Granville-Park","rRyLy3BbcCaVqx9FmiXYOg","May 2017","2017",181
"-OvxhDUk6lI_hlZ9RFRmbA","Memorial-South-Park","t-Phd6Nf4BiQyNfDx0KftA","May 2017","2017",279
"-PFmc3pcc3UCh-ml07CBPw","Eburne-Park","0x24r3NY4ufaZqkD74h0VQ","May 2017","2017",243
"-QQGxG9lt4zplG3gQZr9JA","Emery-Barnes-Park","DZ0pgTFHAhNBWRKSeZys7w","Jun 2017","2017",314
"-QQGxG9lt4zplG3gQZr9JA","Emery-Barnes-Park","WIbUOVKbwKBdfz1u-yHL-w","May 2017","2017",314
"-RTB3FP6_qX5llcSk2hU3g","David-Lam-Park","oubXM2xw-G1oLVzf06qGJg","Jun 2017","2017",56
"-RV656N5h8lTn0b3oQ2p8w","Quilchena-Park","P-w7ynWDcsCuEbpyQa65Kw","May 2017","2017",182
